date,mango_stage,constant_kc,phenology_kc,constant_et0,phenology_et0,constant_etc,phenology_etc,etc_difference,etc_percent_difference,constant_root_zone_depletion,phenology_root_zone_depletion,depletion_difference,constant_ks,phenology_ks,ks_difference,constant_water_stress_level,phenology_water_stress_level,stress_level_changed
2025-08-02,Rest / vegetative phase,0.75,0.6,5.0717277593175245,5.0717277593175245,3.803795819488143,3.0430366555905146,-0.7607591638976285,-20.0,151.60512621950852,137.99762796389825,-13.607498255610267,0.0009560898279645,0.180382651441512,0.1794265616135475,High,High,False
2025-08-03,Rest / vegetative phase,0.75,0.6,3.820802098997497,3.820802098997497,2.8656015742481222,2.292481259398498,-0.5731203148496244,-20.0,144.63072779375665,130.45010922329675,-14.180618570459899,0.0929195283196548,0.2799031739432588,0.186983645623604,High,High,False
2025-08-04,Rest / vegetative phase,0.75,0.6,3.879492928892997,3.879492928892997,2.909619696669748,2.3276957573357984,-0.5819239393339495,-20.0,139.9003474904264,125.13780498063257,-14.762542509793846,0.1552936588914562,0.3499504718816079,0.1946568129901517,High,High,False
2025-08-05,Rest / vegetative phase,0.75,0.6,4.253006798497346,4.253006798497346,3.189755098873009,2.551804079098407,-0.6379510197746017,-20.0,136.86010258929943,121.45960905973097,-15.400493529568465,0.1953819013314233,0.398450646905055,0.2030687455736317,High,High,False
2025-08-06,Rest / vegetative phase,0.75,0.6,4.17812940943984,4.17812940943984,3.1335970570798795,2.5068776456639035,-0.626719411415976,-20.000000000000004,130.3836996463793,114.35648670539486,-16.027212940984455,0.2807788413011137,0.4921114210472373,0.21133257974612363,High,High,False
2025-08-07,Rest / vegetative phase,0.75,0.6,4.311227862110778,4.311227862110778,3.2334208965830835,2.586736717266467,-0.6466841793166167,-20.0,130.38712054296238,113.71322342266131,-16.673897120301064,0.2807337338390362,0.5005934003842941,0.2198596665452579,High,High,False
2025-08-08,Rest / vegetative phase,0.75,0.6,3.4665039993022493,3.4665039993022493,2.599877999476687,2.079902399581349,-0.5199755998953379,-20.00000000000002,101.12699854243908,83.93312582224266,-17.193872720196424,0.6665535946486646,0.8932695864536886,0.226715991805024,Medium,Medium,False
2025-08-09,Rest / vegetative phase,0.75,0.6,3.536560932462158,3.536560932462158,2.652420699346618,2.1219365594772945,-0.5304841398693236,-20.0,100.1794192417857,82.45506238171996,-17.72435686006574,0.6790482422744548,0.912759123472026,0.23371088119757122,Medium,Low,True
2025-08-10,Rest / vegetative phase,0.75,0.6,2.988371163599357,2.988371163599357,2.241278372699518,1.7930226981596142,-0.44825567453990356,-20.0,77.48069761448521,59.308085079879575,-18.172612534605634,0.978350398931387,1.0,0.021649601068613022,Low,Low,False
2025-08-11,Rest / vegetative phase,0.75,0.6,3.22264868176109,3.22264868176109,2.416986511320818,1.9335892090566544,-0.4833973022641638,-20.000000000000007,76.42768412580602,57.77167428893623,-18.656009836869792,0.9922352869583608,1.0,0.007764713041639171,Low,Low,False
2025-08-12,Rest / vegetative phase,0.75,0.6,3.3474816065251924,3.3474816065251924,2.510611204893894,2.008488963915116,-0.5021222409787782,-19.999999999999975,75.76829533069991,56.61016325285134,-19.15813207784857,1.0,1.0,0.0,Low,Low,False
2025-08-13,Rest / vegetative phase,0.75,0.6,2.9143425286954265,2.9143425286954265,2.18575689652157,1.748605517217256,-0.4371513793043138,-19.999999999999993,75.65405222722148,56.0587687700686,-19.59528345715288,1.0,1.0,0.0,Low,Low,False
2025-08-14,Rest / vegetative phase,0.75,0.6,4.049195906547987,4.049195906547987,3.0368969299109905,2.429517543928792,-0.6073793859821985,-20.000000000000014,75.42094915713248,55.21828631399739,-20.202662843135094,1.0,1.0,0.0,Low,Low,False
2025-08-15,Rest / vegetative phase,0.75,0.6,4.42858711574608,4.42858711574608,3.32144033680956,2.657152269447648,-0.664288067361912,-20.0,75.23238949394204,54.36543858344504,-20.866950910496996,1.0,1.0,0.0,Low,Low,False
2025-08-16,Rest / vegetative phase,0.75,0.6,3.9504482537035983,3.9504482537035983,2.9628361902776987,2.3702689522221587,-0.59256723805554,-20.00000000000001,72.25522568421974,50.795707535667205,-21.459518148552533,1.0,1.0,0.0,Low,Low,False
2025-08-17,Rest / vegetative phase,0.75,0.6,3.1017848995590387,3.1017848995590387,2.326338674669279,1.861070939735423,-0.46526773493385587,-20.000000000000004,66.91156435888901,44.98677847540262,-21.924785883486386,1.0,1.0,0.0,Low,Low,False
2025-08-18,Rest / vegetative phase,0.75,0.6,3.605904553265148,3.605904553265148,2.7044284149488607,2.1635427319590885,-0.5408856829897721,-20.0,68.27599277383787,45.81032120736171,-22.46567156647616,1.0,1.0,0.0,Low,Low,False
2025-08-19,Rest / vegetative phase,0.75,0.6,4.441765208118677,4.441765208118677,3.331323906089008,2.665059124871206,-0.666264781217802,-20.00000000000001,71.35731667992688,48.22538033223292,-23.13193634769396,1.0,1.0,0.0,Low,Low,False
2025-08-20,Rest / vegetative phase,0.75,0.6,4.483731352560289,4.483731352560289,3.362798514420217,2.6902388115361733,-0.6725597028840435,-20.000000000000007,74.3201151943471,50.51561914376909,-23.80449605057801,1.0,1.0,0.0,Low,Low,False
2025-08-21,Rest / vegetative phase,0.75,0.6,4.368971869068262,4.368971869068262,3.2767289018011967,2.621383121440957,-0.6553457803602396,-20.00000000000001,76.90684409614829,52.44700226521005,-24.459841830938238,0.9859171508596908,1.0,0.014082849140309217,Low,Low,False
2025-08-22,Rest / vegetative phase,0.75,0.6,4.31016147605594,4.31016147605594,3.232621107041955,2.586096885633564,-0.6465242214083906,-19.99999999999999,76.56946520319025,51.46309915084362,-25.10636605234663,0.9903657815769124,1.0,0.009634218423087648,Low,Low,False
2025-08-23,Rest / vegetative phase,0.75,0.6,3.774163948286282,3.774163948286282,2.830622961214712,2.2644983689717693,-0.5661245922429425,-20.000000000000007,70.51008816440496,44.83759751981539,-25.672490644589573,1.0,1.0,0.0,Low,Low,False
2025-08-24,Rest / vegetative phase,0.75,0.6,5.401119607733134,5.401119607733134,4.05083970579985,3.24067176463988,-0.8101679411599703,-20.000000000000004,74.5309278702048,48.04826928445527,-26.482658585749533,1.0,1.0,0.0,Low,Low,False
2025-08-25,Rest / vegetative phase,0.75,0.6,4.514377940068721,4.514377940068721,3.385783455051541,2.7086267640412327,-0.6771566910103082,-20.0,77.91671132525634,50.7568960484965,-27.159815276759844,0.9726011833540288,1.0,0.027398816645971213,Low,Low,False
2025-08-26,Rest / vegetative phase,0.75,0.6,4.8320693396765,4.8320693396765,3.624052004757375,2.8992416038059,-0.7248104009514753,-20.000000000000007,81.43076333001372,53.5461376523024,-27.88462567771132,0.9262653869643542,1.0,0.07373461303564577,Low,Low,False
2025-08-27,Rest / vegetative phase,0.75,0.6,3.896920795490456,3.896920795490456,2.922690596617842,2.338152477294273,-0.584538119323569,-20.00000000000002,82.05345392663156,53.584290129596674,-28.469163797034888,0.9180546761781768,1.0,0.08194532382182318,Low,Low,False
2025-08-28,Rest / vegetative phase,0.75,0.6,4.56099862689899,4.56099862689899,3.420748970174243,2.736599176139394,-0.6841497940348487,-20.000000000000004,81.4942028968058,52.34088930573607,-29.153313591069733,0.9254288817430464,1.0,0.07457111825695362,Low,Low,False
2025-08-29,Rest / vegetative phase,0.75,0.6,4.529708312957713,4.529708312957713,3.397281234718285,2.717824987774628,-0.6794562469436567,-19.999999999999993,84.27148413152409,54.4387142935107,-29.83276983801339,0.8888080412903291,1.0,0.11119195870967091,Medium,Low,True
2025-08-30,Rest / vegetative phase,0.75,0.6,4.555219464391882,4.555219464391882,3.416414598293912,2.733131678635129,-0.6832829196587826,-20.000000000000007,84.167898729818,53.65184597214583,-30.516052757672178,0.8901739038546559,1.0,0.10982609614534411,Medium,Low,True
2025-08-31,Rest / vegetative phase,0.75,0.6,4.573155000242516,4.573155000242516,3.4298662501818877,2.7438930001455097,-0.685973250036378,-20.00000000000001,84.58776497999989,53.38573897229134,-31.202026007708547,0.8846376064256521,1.0,0.11536239357434785,Medium,Low,True
2025-09-01,Rest / vegetative phase,0.75,0.6,4.013062088489651,4.013062088489651,3.009796566367238,2.4078372530937906,-0.6019593132734475,-20.0,84.57756154636714,52.77357622538513,-31.803985320982008,0.8847721474690524,1.0,0.11522785253094758,Medium,Low,True
2025-09-02,Rest / vegetative phase,0.75,0.6,4.014422952559622,4.014422952559622,3.0108172144197165,2.408653771535773,-0.6021634428839433,-20.0,79.48837876078686,47.0822299969209,-32.40614876386596,0.9518773971987776,1.0,0.04812260280122238,Low,Low,False
2025-09-03,Rest / vegetative phase,0.75,0.6,4.190999927623266,4.190999927623266,3.143249945717449,2.51459995657396,-0.6286499891434891,-19.999999999999975,79.3316287065043,46.296829953494864,-33.03479875300944,0.9539442814080816,1.0,0.04605571859191837,Low,Low,False
2025-09-04,Rest / vegetative phase,0.75,0.6,4.846888482242267,4.846888482242267,3.635166361681701,2.9081330893453603,-0.7270332723363406,-20.00000000000001,82.736795068186,48.97496304284023,-33.76183202534577,0.9090442358213215,1.0,0.09095576417867846,Low,Low,False
2025-09-05,Rest / vegetative phase,0.75,0.6,4.698617207730979,4.698617207730979,3.523962905798234,2.8191703246385877,-0.704792581159646,-19.99999999999998,86.18075797398423,51.714133367478816,-34.46662460650541,0.8636326244505681,1.0,0.1363673755494319,Medium,Low,True
2025-09-06,Rest / vegetative phase,0.75,0.6,4.875168011507224,4.875168011507224,3.656376008630418,2.9251008069043345,-0.7312752017260835,-20.0,87.61713398261465,52.41923417438315,-35.1978998082315,0.8446927720565772,1.0,0.15530722794342278,Medium,Low,True
2025-09-07,Rest / vegetative phase,0.75,0.6,4.739661724393143,4.739661724393143,3.554746293294857,2.8437970346358856,-0.7109492586589714,-20.0,88.7018802759095,52.79303120901904,-35.90884906689046,0.8303894597229753,1.0,0.1696105402770247,Medium,Low,True
2025-09-08,Rest / vegetative phase,0.75,0.6,4.982307852432855,4.982307852432855,3.736730889324641,2.9893847114597127,-0.7473461778649284,-20.000000000000004,91.89861116523414,55.24241592047875,-36.656195244755395,0.7882378150120266,1.0,0.2117621849879734,Medium,Low,True
2025-09-09,Rest / vegetative phase,0.75,0.6,4.380795373985021,4.380795373985021,3.2855965304887658,2.628477224391012,-0.6571193060977536,-20.00000000000001,95.08420769572292,57.77089314486976,-37.313314550853164,0.746232986393512,1.0,0.253767013606488,Medium,Low,True
2025-09-10,Rest / vegetative phase,0.75,0.6,4.005405608546842,4.005405608546842,3.004054206410132,2.403243365128105,-0.6008108412820272,-20.000000000000025,85.70826190213305,47.79413650999786,-37.91412539213518,0.8698628913192934,1.0,0.1301371086807066,Medium,Low,True
2025-09-11,Rest / vegetative phase,0.75,0.6,3.26182069955928,3.26182069955928,2.44636552466946,1.957092419735568,-0.4892731049338921,-20.000000000000004,81.58462742680251,43.18122892973343,-38.403398497069084,0.9242365565853972,1.0,0.07576344341460284,Low,Low,False
2025-09-12,Rest / vegetative phase,0.75,0.6,3.543943567407998,3.543943567407998,2.6579576755559984,2.126366140444799,-0.5315915351111995,-19.999999999999993,83.7425851023585,44.80759507017823,-38.93499003218027,0.8957820296356738,1.0,0.10421797036432623,Medium,Low,True
2025-09-13,Rest / vegetative phase,0.75,0.6,2.8735989758250624,2.8735989758250624,2.1551992318687967,1.7241593854950374,-0.43103984637375925,-19.999999999999996,83.4377843342273,44.07175445567327,-39.36602987855403,0.8998010897726393,1.0,0.10019891022736072,Medium,Low,True
2025-09-14,Rest / vegetative phase,0.75,0.6,3.9544483085363495,3.9544483085363495,2.965836231402262,2.372668985121809,-0.5931672462804531,-20.000000000000025,85.97362056562956,46.01442344079508,-39.95919712483448,0.866363909236682,1.0,0.13363609076331795,Medium,Low,True
2025-09-15,Rest / vegetative phase,0.75,0.6,4.230681377292906,4.230681377292906,3.1730110329696792,2.5384088263757434,-0.6346022065939358,-20.0,81.12663159859925,40.53283226717082,-40.59379933142843,0.9302756252771004,1.0,0.0697243747228996,Low,Low,False
2025-09-16,Rest / vegetative phase,0.75,0.6,3.546153936291748,3.546153936291748,2.659615452218811,2.1276923617750487,-0.5319230904437622,-20.0,60.36624705081805,19.240524628945863,-41.12572242187219,1.0,1.0,0.0,Low,Low,False
2025-09-17,Rest / vegetative phase,0.75,0.6,2.976995345646898,2.976995345646898,2.2327465092351733,1.7861972073881387,-0.44654930184703456,-19.999999999999996,43.728993560053226,2.156721836334001,-41.572271723719226,1.0,1.0,0.0,Low,Low,False
2025-09-18,Rest / vegetative phase,0.75,0.6,3.3685181492799288,3.3685181492799288,2.5263886119599466,2.0211108895679573,-0.5052777223919893,-20.0,28.065382172013173,0.0,-28.065382172013173,1.0,1.0,0.0,Low,Low,False
2025-09-19,Rest / vegetative phase,0.75,0.6,3.6489995384256666,3.6489995384256666,2.73674965381925,2.1893997230554,-0.5473499307638501,-20.000000000000004,7.092131825832422,0.0,-7.092131825832422,1.0,1.0,0.0,Low,Low,False
2025-09-20,Rest / vegetative phase,0.75,0.6,3.278035463513479,3.278035463513479,2.4585265976351094,1.9668212781080876,-0.4917053195270218,-19.999999999999996,8.45065842346753,0.8668212781080873,-7.583837145359443,1.0,1.0,0.0,Low,Low,False
2025-09-21,Rest / vegetative phase,0.75,0.6,3.409568862071783,3.409568862071783,2.5571766465538373,2.0457413172430696,-0.5114353293107676,-20.000000000000007,4.327835070021368,0.0,-4.327835070021368,1.0,1.0,0.0,Low,Low,False
